ModuleGroup,Module,Report,ReportKey,CustomerReportKey,AreaName,ControllerName,ActionName,CloudApplicationKey,CloudApplicationActionKey,Querystring,Description,Note
Production Tracking,Job Tracking System,Scheduled Job Requirements,124,216911,ProductionTracking,JobPlanning,ScheduledJobRequirementsView,4278,11406,,"List of Components required by scheduled Jobs, Current Inventory and Required Amount.  Includes option for requirements only.",
Production Tracking,Job Tracking System,Scheduled Jobs by Department Summary,2388,216912,VisionPlex,screen,Index,1653,5960,__actionKey=5960,,
Production Tracking,Job Tracking System,Scheduled Jobs by Workcenter Group,1472,216913,VisionPlex,screen,Index,2802,7111,__actionKey=7111,,
Production Tracking,Production Tracking,Average Hourly Production,976,216914,VisionPlex,screen,Index,2998,7307,__actionKey=7307,,
Production Tracking,Production Tracking,Daily Production Detail Reason,2300,216915,VisionPlex,screen,Index,2386,6693,__actionKey=6693,,
Production Tracking,Production Tracking,Daily Shifts,5938,216917,VisionPlex,screen,Index,7898,25676,__actionKey=25676,,
Production Tracking,Production Tracking,Downtime Analysis Reasons,220,216916,ProductionTracking,DowntimeAnalysis,ViewProductionTrackingDowntimeAnalysisReason,4649,12272,,Downtime Reason Analysis,
Production Tracking,Production Tracking,Downtime Event Type Pareto Analysis,2370,216918,VisionPlex,screen,Index,3093,7402,__actionKey=7402,,
Production Tracking,Production Tracking,Efficiency Report,1487,216919,VisionPlex,screen,Index,3141,7452,__actionKey=7452,,
Production Tracking,Production Tracking,Employee Production,2302,216920,VisionPlex,screen,Index,1425,5730,__actionKey=5730,,
Production Tracking,Production Tracking,Employee Production By Department,2368,216925,VisionPlex,screen,Index,1424,5729,__actionKey=5729,,
Production Tracking,Production Tracking,Executive Daily Summary (Daily Production),2359,216921,VisionPlex,screen,Index,3215,7526,__actionKey=7526,,
Production Tracking,Production Tracking,Job Production Report,977,216922,VisionPlex,screen,Index,2264,6571,__actionKey=6571,,
Production Tracking,Production Tracking,OEE Report,625,216924,VisionPlex,screen,Index,2404,6711,__actionKey=6711,,AA
Production Tracking,Production Tracking,Production and Scrap by Month,1488,216923,VisionPlex,screen,Index,1710,6017,__actionKey=6017,,
Production Tracking,Production Tracking,Production and Scrap Report,978,216926,VisionPlex,screen,Index,2413,6720,__actionKey=6720,,
Production Tracking,Production Tracking,Production by Operator,964,216927,ProductionTracking,ProductionHistory,ViewProductionHistoryProductionByOperatorGrid,4712,18690,,,
Production Tracking,Production Tracking,Production Efficiency,1162,216930,VisionPlex,screen,Index,1586,5893,__actionKey=5893,,
Production Tracking,Production Tracking,Production Efficiency by Shift,961,216928,VisionPlex,screen,Index,2911,7220,__actionKey=7220,,
Production Tracking,Production Tracking,Production Forecast Hours,963,216931,ProductionTracking,ProductionHistory,ViewProductionHistoryProductionForecastHoursGrid,4712,12355,,,
Production Tracking,Production Tracking,Production History,821,216932,ProductionTracking,ProductionHistory,Index,4712,13891,,,
Production Tracking,Production Tracking,Production History Details,926,216929,ProductionTracking,ProductionHistory,ViewProductionHistoryDetailedProductionHistoryGrid,4712,13224,,,
Production Tracking,Production Tracking,Production Performance,334,216933,ProductionTracking,ProductionHistory,ViewProductionHistoryProductionPerformanceReportGrid,4712,19198,,,
Production Tracking,Production Tracking,Production Summary,1098,216934,VisionPlex,screen,Index,2535,6844,__actionKey=6844,,
Production Tracking,Production Tracking,Production Summary & Efficiency,1366,216935,VisionPlex,screen,Index,1745,6052,__actionKey=6052,,
Production Tracking,Production Tracking,Production Summary by Workcenter,992,216937,VisionPlex,screen,Index,7099,23489,__actionKey=23489,,
Production Tracking,Production Tracking,Workcenter Production,407,216938,VisionPlex,screen,Index,1421,5726,__actionKey=5726,,
Production Tracking,Production Tracking,Workcenter Production Summary,415,216936,VisionPlex,screen,Index,2421,6728,__actionKey=6728,,
Production Tracking,Production Tracking,Workcenter Productivity,1365,216940,VisionPlex,screen,Index,3270,7582,__actionKey=7582,,
Production Tracking,Scrap Tracking,Scrap by Departments,163,216939,Inventory,ScrapSummaryByDepartment,Index,4926,14145,,Previous weeks scrap and previous 52 weeks scrap by department,
Production Tracking,Scrap Tracking,Scrap by Parts,214,216941,Inventory,ScrapSummarybypart,Index,4692,12203,,Scrap Summary by Part,
Production Tracking,Scrap Tracking,Scrap by Parts and Operations,177,216943,Inventory,ScrapSummaryByPartOperation,Index,4764,12771,,Scrap report with subtotals by part and operation,
Production Tracking,Scrap Tracking,Scrap by Parts Pareto,234,216942,Inventory,ScrapPartPareto,Index,4709,12334,,,
Production Tracking,Scrap Tracking,Scrap by Scrap Reasons Pareto,215,216944,Inventory,ScrapReasonPareto,Index,4565,10878,,Reason for Scrap - Pareto Analysis,
Production Tracking,Scrap Tracking,Scrap Pareto,95,216945,Inventory,ScrapCustomerPareto,Index,4863,13668,,Uses Customer Part,
Production Tracking,Workcenter List,Workcenter Load Analyses,5178,216947,Engineering,WorkcenterLoadAnalysis,Index,626,3489,,,
Production Tracking,Workcenter Tracking,Production Summary By Operator,2373,216946,VisionPlex,screen,Index,2845,7154,__actionKey=7154,,
Production Tracking,Workcenter Tracking,Production Summary by Workcenter Job,2365,216948,VisionPlex,screen,Index,3061,7370,__actionKey=7370,,
Production Tracking,Workcenter Tracking,Workcenter Logs,176,216953,ProductionTracking,WorkcenterLog,Index,4650,11796,,Sames as the Workcenter Log from the control panel,
Production Tracking,Workcenter Tracking,Workcenter Status Summary,1516,216954,VisionPlex,screen,Index,2596,6905,__actionKey=6905,,
Purchasing,Purchase Orders,Purchase Order Line Release History,2287,216949,VisionPlex,screen,Index,2436,6743,__actionKey=6743,,
Purchasing,Purchase Orders,Purchase Order Price Averages,5098,216950,Purchasing,PurchaseOrderReports,ViewPriceAverageGrid,566,11602,,,
Purchasing,Purchase Orders,Purchase Order Receipts,196,216951,Purchasing,PurchaseOrderReports,ViewReportReceiptsGrid,566,11610,,Receipts from Purchasing,
Purchasing,Purchase Orders,Purchase Order Releases Due,93,216952,Purchasing,PurchaseOrderReports,ViewReleasesDueGrid,566,11587,,"Report to replace 3 PO Reports:
Open Purchase Orders
Open PO Detail
Purchase Orders Due",
Purchasing,Supply Crib Management,Supply Item Usage Report,201,216956,Purchasing,SupplyReports,Index,4501,10714,,,
Purchasing,Supply Crib Management,Supply Items Inventory Report,908,216955,VisionPlex,screen,Index,1992,6299,__actionKey=6299,,
Quality,Checksheets and Process Instructions,Failure Modes,316,282114,Quality,ChecksheetReports,FailureMode,1177,4550,,,
Quality,Checksheets and Process Instructions,Failure Modes Analysis,315,282115,Quality,ChecksheetReports,FailureModesAnalysis,1177,4473,,,
Quality,Checksheets and Process Instructions,Inspection History,318,216957,Quality,ChecksheetReports,inspectionhistory,1177,4018,,,
Quality,Control Plans,Checksheet Launchers,397,216423,VisionPlex,screen,Index,2490,6798,__actionKey=6798,,
Quality,FMEA,Failure Mode and Effects Analyses (Alternate),5189,282116,Quality,Fmea,Fmea2ViewGrid,314,10772,,,
Quality,SPC,SPC Failure Mode Counts,2291,282118,VisionPlex,screen,Index,2263,6570,__actionKey=6570,,
Quality,SPC,SPC Failure Modes by Specification,2285,282119,VisionPlex,screen,Index,2265,6572,__actionKey=6572,,
Quality,SPC,SPC Failure Modes Raw Data,2292,282117,VisionPlex,screen,Index,2266,6573,__actionKey=6573,,
Quality,Supplier Quality Management,Supplier Certifications History,340,216958,Quality,SupplierQualityReports,SupplierCertificationsReport,4542,11319,,,
Quality,Supplier Quality Management,Supplier Certifications Within Expiration Date Range,400,216959,VisionPlex,screen,Index,2269,6576,__actionKey=6576,,
Quality,Supplier Quality Management,Supplier Delivery Performance,507,216960,Quality,SupplierQualityReports,SupplierDeliveryPerfDetail,4542,11024,,,
Quality,Supplier Quality Management,Supplier Performance History,341,216961,Quality,SupplierQualityReports,ReportSupplierPerformance,4542,10718,,,
Sales and CRM,Customer Master Data Management,Customer Address Report,1224,276659,SalesAndCRM,customeraddresses,ViewCustomerAddressListReportGrid,1349,10244,,,
Sales and CRM,Customer Orders and Releases,Bookings by Day,14,216962,SalesAndCRM,RevenueReports,BookingsByDayReportGridView,1214,4770,,"Total quantity, total price of bookings by each day in the date range.",
Sales and CRM,Customer Orders and Releases,Open Releases,5145,216963,SalesAndCRM,SalesReleaseReports,ViewReportOpenReleasesGrid,1356,9863,,,
Sales and CRM,Customer Orders and Releases,Sales Order Reports,138,216964,SalesAndCRM,SalesOrderReports,Index,4588,11074,,Open releases sortable by customer or scheduled ship date.  Also has breakdown of price accounts. Customized report.,
Sales and CRM,Order Entry and Tracking,Customer Release Change Report,66,216965,SalesAndCRM,ReleaseReports,Index,4707,12314,,Listing of release changes for a given time period with change in quantity and change in sales.,
Sales and CRM,Revenue Reporting,Revenue by Customer Multi-Entity,1613,216966,VisionPlex,screen,Index,1868,6175,__actionKey=6175,,
Scheduling,Material Requirements Planning (MRP),MRP Diagnostics,401,216967,VisionPlex,screen,Index,4106,8419,__actionKey=8419,,
Security,IP Address Control,Valid IP Address Users,5127,216968,VisionPlex,screen,Index,2403,6710,__actionKey=6710,,
Shipping,Customer Shipping,Customer Ship History,1118,216969,VisionPlex,screen,Index,2713,7022,__actionKey=7022,,
Shipping,Customer Shipping,Customer Shipping History Summary,113,216970,Shipping,StandardShippingHistorySummary,Index,4757,12735,,Shipper History Summary,
Shipping,Customer Shipping,Delivery Performance,268,216971,VisionPlex,screen,Index,3231,7542,__actionKey=7542,,
Shipping,Customer Shipping,Delivery Performance By Customer,705,216972,VisionPlex,screen,Index,3233,7545,__actionKey=7545,,
Shipping,Customer Shipping,Delivery Performance by Part,251,216973,Shipping,DeliveryPerformanceReport,Index,5672,19341,,,
Shipping,Customer Shipping,Delivery Performance Detail,252,216974,Shipping,DeliveryPerformanceReport,ViewDeliveryPerformanceDetail,5672,19359,,,
Shipping,Customer Shipping,Delivery Performance Summary,253,216975,Shipping,DeliveryPerformanceReport,ViewDeliveryPerformanceSummary,5672,19352,,,
Shipping,Customer Shipping,Future Monthly Revenue by Customer,1437,216976,Shipping,monthlyforecast,Index,7438,24278,,,
Shipping,Customer Shipping,Revenue by Customer,882,216978,VisionPlex,screen,Index,2786,7095,__actionKey=7095,,
Shipping,Customer Shipping,Revenue Summary by Ship To,395,216977,Shipping,RevenueSummaryByShipToReport,Index,5668,19326,,,
Shipping,Customer Shipping,Shipped Pieces by Customer Part,898,216979,VisionPlex,screen,Index,6838,22746,__actionKey=22746,,
Shipping,Customer Shipping,Shipper History,1600,216981,VisionPlex,screen,Index,2468,6776,__actionKey=6776,,
Shipping,Customer Shipping,Shipper History Summary by Part Group,1470,216980,Shipping,ShipperHistorySummaryByPartGroup,Index,7451,24306,,,
Shipping,Customer Shipping,Shippers Missing Invoices,1431,216982,VisionPlex,screen,Index,3121,7431,__actionKey=7431,,
Shipping,Customer Shipping,Shipping History by Part,893,216983,VisionPlex,screen,Index,6857,22785,__actionKey=22785,,
Shipping,Customer Shipping,Shipping History Container Detail,703,216984,VisionPlex,screen,Index,2233,6540,__actionKey=6540,,
Shipping,Customer Shipping,Shipping Revenue by Part Group,342,216987,Shipping,ShippingRevenueByPartGroupReport,Index,5661,19287,,,
Shipping,Inter-plant Transfers,Interplant Shipments,1279,216988,VisionPlex,screen,Index,1978,6285,__actionKey=6285,,
Shipping,Inter-plant Transfers,Interplant Shipped Versus Received,393,216989,VisionPlex,screen,Index,1717,6024,__actionKey=6024,,
Shipping,Subcontract Shipping and Receiving,Overdue From Processor,1336,216985,VisionPlex,screen,Index,3803,8116,__actionKey=8116,,
Shipping,Subcontract Shipping and Receiving,Send to Subcontract Planning Report,1020,216986,VisionPlex,screen,Index,3069,7378,__actionKey=7378,,
